22, 12,  4, -51.68065674, -43.03329847, -45.99454918, -48.63689560, -47.41581629, -42.17825886, -37.01269855, -49.90639292, -54.29401614, -54.86849916,
23, 12,  6, -49.90639292, -37.01269855, -42.17825886, -47.41581629, -48.63689560, -45.99454918, -43.03329847, -51.68065674, -54.86849916, -54.29401614,
24, 12,  8, -48.63689560, -29.05389838, -38.68633350, -47.14956128, -50.47772582, -49.50349683, -47.64227689, -53.67882886, -55.81555438, -54.17441508,
25, 14,  2, -55.81555438, -49.05389838, -47.92502521, -47.41581629, -42.17825886, -31.20657595, -37.01269855, -52.14922282, -56.84829195, -58.08387040,
26, 14,  4, -54.29401614, -45.31216551, -43.50863291, -44.66204499, -42.64472743, -37.93869895, -41.09509821, -53.01672638, -56.93636256, -57.36379884,
27, 14,  6, -53.01672638, -41.09509821, -37.93869895, -42.64472743, -44.66204499, -43.50863291, -45.31216551, -54.29401614, -57.36379884, -56.93636256,
28, 14,  8, -52.14922282, -37.01269855, -31.20657595, -42.17825886, -47.41581629, -47.92502521, -49.05389838, -55.81555438, -58.08387040, -56.84829195,
29, 16,  2, -57.85041698, -50.99209864, -47.14956128, -44.29433338, -35.20916595, -23.55987724, -43.03329847, -55.08805940, -59.16537612, -60.12700855,
30, 16,  4, -56.66942561, -48.13874857, -42.17825886, -40.01246768, -36.21735602, -35.20916595, -45.31216551, -55.71528325, -59.23290524, -59.56289325,
31, 16,  6, -55.71528325, -45.31216551, -35.20916595, -36.21735602, -40.01246768, -42.17825886, -48.13874857, -56.66942561, -59.56289325, -59.23290524,
32, 16,  8, -55.08805940, -43.03329847, -23.55987724, -35.20916595, -44.29433338, -47.14956128, -50.99209864, -57.85041698, -60.12700855, -59.16537612,
33, 18,  2, -59.75503137, -53.13629803, -47.41581629, -41.68531016, -23.55987724, -26.90969899, -47.64227689, -57.61051525, -61.20969834, -61.97829582,
34, 18,  4, -58.81962342, -50.99209864, -42.64472743, -35.20916595, -26.90969899, -36.21735602, -49.05389838, -58.08387040, -61.26310905, -61.52534450,
35, 18,  6, -58.08387040, -49.05389838, -36.21735602, -26.90969899, -35.20916595, -42.64472743, -50.99209864, -58.81962342, -61.52534450, -61.26310905,
