timestamp,latitude,longitude,altitude,speed,course,hacc
1668507244000,45.47820,9.22683,160.669,0.013,270.965,4.000
1668507245000,45.47820,9.22683,160.730,0.259,265.145,4.000
1668507246000,45.47819,9.22683,160.682,0.216,265.145,4.000
1668507247000,45.47819,9.22683,160.527,0.264,251.376,4.000
1668507248000,45.47819,9.22683,160.358,0.320,241.274,4.000
1668507249000,45.47819,9.22683,160.429,0.239,241.274,4.000
1668507250000,45.47818,9.22683,160.443,0.333,228.276,4.000
1668507251000,45.47818,9.22683,160.495,0.394,218.197,4.000
1668507252000,45.47817,9.22683,160.280,0.392,214.600,4.000
1668507253000,45.47817,9.22683,159.987,0.370,199.383,4.000
1668507254000,45.47817,9.22682,160.027,0.411,195.594,6.000
1668507255000,45.47816,9.22683,160.146,0.489,178.912,6.000
1668507256000,45.47815,9.22682,160.189,0.500,177.748,6.000
1668507257000,45.47815,9.22683,160.243,0.497,178.976,6.000
1668507258000,45.47814,9.22682,160.267,0.487,175.934,4.000
1668507259000,45.47814,9.22683,160.402,0.497,171.733,4.000
1668507260000,45.47813,9.22683,160.490,0.507,179.734,4.000
1668507261000,45.47813,9.22683,160.415,0.547,180.451,4.000
1668507262000,45.47812,9.22683,160.440,0.529,179.114,4.000
1668507263000,45.47812,9.22683,160.545,0.517,177.322,4.000
1668507264000,45.47811,9.22682,160.713,0.627,177.873,4.000
1668507265000,45.47811,9.22682,160.673,0.581,177.032,4.000
1668507266000,45.47810,9.22682,160.888,0.588,174.829,4.000
1668507267000,45.47810,9.22683,161.029,0.583,176.026,4.000
1668507268000,45.47809,9.22683,161.067,0.555,177.991,4.000
1668507269000,45.47809,9.22683,160.978,0.559,175.546,4.000
1668507270000,45.47808,9.22683,161.007,0.544,177.089,4.000
1668507271000,45.47808,9.22683,160.692,0.546,189.159,4.000
1668507272000,45.47807,9.22682,160.670,0.525,184.071,4.000
1668507273000,45.47807,9.22682,160.736,0.510,183.321,4.000
1668507274000,45.47807,9.22682,160.776,0.488,179.494,4.000
1668507275000,45.47806,9.22683,160.702,0.430,170.420,4.000
1668507276000,45.47806,9.22683,160.748,0.301,170.420,6.000
1668507277000,45.47806,9.22683,160.443,0.318,180.447,4.000
1668507278000,45.47805,9.22683,160.400,0.404,184.221,4.000
1668507279000,45.47805,9.22683,160.427,0.435,184.223,4.000
1668507280000,45.47804,9.22683,160.401,0.403,181.312,4.000
1668507281000,45.47804,9.22683,160.332,0.422,180.878,4.000
1668507282000,45.47804,9.22683,160.462,0.469,177.867,4.000
1668507283000,45.47803,9.22683,160.292,0.475,177.442,4.000
1668507284000,45.47803,9.22683,160.295,0.469,178.664,4.000
1668507285000,45.47802,9.22683,160.185,0.457,177.428,4.000
1668507286000,45.47802,9.22683,160.068,0.489,180.686,4.000
1668507287000,45.47802,9.22683,160.129,0.508,181.015,4.000
1668507288000,45.47801,9.22682,160.205,0.500,181.449,4.000
1668507289000,45.47801,9.22683,160.252,0.502,174.938,4.000
1668507290000,45.47800,9.22683,160.120,0.460,173.395,4.000
1668507291000,45.47800,9.22683,159.793,0.407,175.287,4.000
1668507292000,45.47800,9.22683,159.836,0.259,175.287,4.000
1668507293000,45.47800,9.22684,159.896,0.339,158.188,4.000
1668507294000,45.47800,9.22684,159.765,0.333,147.117,4.000
1668507295000,45.47800,9.22684,159.795,0.268,147.117,6.000
1668507296000,45.47800,9.22684,159.156,0.033,147.117,6.000
1668507297000,45.47800,9.22686,159.348,0.445,94.459,6.000
1668507298000,45.47800,9.22687,159.414,0.488,85.534,6.000
1668507299000,45.47800,9.22688,159.560,0.538,96.253,6.000
1668507300000,45.47800,9.22688,159.259,0.458,93.867,6.000
1668507301000,45.47800,9.22689,159.294,0.504,93.921,6.000
1668507302000,45.47800,9.22689,159.416,0.516,95.117,6.000
1668507303000,45.47800,9.22690,159.371,0.447,95.310,4.000
1668507304000,45.47800,9.22690,159.385,0.396,96.201,6.000
1668507305000,45.47800,9.22691,159.402,0.281,96.201,4.000
1668507306000,45.47800,9.22691,159.337,0.335,102.648,4.000
1668507307000,45.47800,9.22691,159.414,0.025,102.648,4.000
1668507308000,45.47799,9.22691,159.586,0.437,179.952,6.000
1668507309000,45.47799,9.22691,159.570,0.508,185.802,6.000
1668507310000,45.47798,9.22691,159.665,0.553,187.078,6.000
1668507311000,45.47797,9.22691,159.725,0.600,188.665,6.000
1668507312000,45.47797,9.22691,159.685,0.654,187.116,4.000
1668507313000,45.47796,9.22691,159.729,0.652,187.236,4.000
1668507314000,45.47795,9.22691,159.765,0.658,187.716,4.000
1668507315000,45.47795,9.22691,159.694,0.625,189.120,6.000
1668507316000,45.47794,9.22691,159.787,0.633,184.307,6.000
1668507317000,45.47794,9.22690,159.914,0.636,186.344,4.000
1668507318000,45.47793,9.22690,159.947,0.633,185.934,6.000
1668507319000,45.47793,9.22690,160.046,0.631,186.136,4.000
1668507320000,45.47792,9.22690,160.060,0.644,189.906,4.000
1668507321000,45.47791,9.22690,160.233,0.656,186.438,4.000
1668507322000,45.47791,9.22690,160.223,0.657,189.880,6.000
1668507323000,45.47790,9.22690,160.263,0.676,189.668,6.000
1668507324000,45.47789,9.22689,160.298,0.680,188.785,6.000
1668507325000,45.47789,9.22689,160.067,0.659,188.774,6.000
1668507326000,45.47789,9.22689,160.025,0.664,190.856,4.000
1668507327000,45.47788,9.22689,160.050,0.663,190.990,4.000
1668507328000,45.47787,9.22688,160.095,0.663,191.065,4.000
1668507329000,45.47787,9.22688,160.330,0.673,192.695,4.000
1668507330000,45.47786,9.22688,160.247,0.675,189.564,4.000
1668507331000,45.47785,9.22688,160.107,0.686,190.189,4.000
1668507332000,45.47785,9.22688,160.094,0.685,189.224,8.000
1668507333000,45.47784,9.22688,160.076,0.679,188.942,8.000
1668507334000,45.47784,9.22687,160.116,0.678,190.915,4.000
1668507335000,45.47783,9.22687,160.142,0.676,194.750,6.000
1668507336000,45.47782,9.22687,160.161,0.679,194.158,6.000
1668507337000,45.47782,9.22687,160.031,0.671,195.955,6.000
1668507338000,45.47781,9.22687,160.070,0.662,194.517,4.000
1668507339000,45.47781,9.22687,160.320,0.667,194.437,4.000
1668507340000,45.47780,9.22686,160.405,0.663,194.626,6.000
1668507341000,45.47780,9.22686,160.435,0.653,195.435,6.000
1668507342000,45.47779,9.22686,160.513,0.656,200.415,6.000
1668507343000,45.47779,9.22686,160.442,0.644,200.552,6.000
1668507344000,45.47778,9.22686,160.482,0.637,197.608,4.000
1668507345000,45.47777,9.22685,160.521,0.638,201.753,4.000
1668507346000,45.47777,9.22685,160.651,0.640,202.056,4.000
1668507347000,45.47776,9.22685,160.795,0.641,201.270,4.000
1668507348000,45.47776,9.22684,160.662,0.650,203.822,4.000
1668507349000,45.47775,9.22684,160.554,0.655,203.127,4.000
1668507350000,45.47775,9.22684,160.555,0.652,203.775,4.000
1668507351000,45.47774,9.22683,160.558,0.649,203.743,4.000
1668507352000,45.47774,9.22683,160.593,0.654,204.496,4.000
1668507353000,45.47773,9.22682,160.606,0.660,206.315,4.000
1668507354000,45.47773,9.22682,160.472,0.663,207.654,4.000
1668507355000,45.47772,9.22682,160.529,0.657,207.430,4.000
1668507356000,45.47772,9.22681,160.374,0.658,203.941,4.000
1668507357000,45.47771,9.22681,160.472,0.661,207.284,4.000
1668507358000,45.47770,9.22680,160.481,0.666,203.188,4.000
1668507359000,45.47770,9.22680,160.469,0.679,205.073,4.000
1668507360000,45.47769,9.22680,160.375,0.682,204.190,4.000
1668507361000,45.47769,9.22679,160.377,0.679,204.760,4.000
1668507362000,45.47768,9.22679,160.402,0.683,205.250,4.000
1668507363000,45.47768,9.22678,160.496,0.694,207.611,4.000
1668507364000,45.47767,9.22678,160.515,0.692,208.448,4.000
1668507365000,45.47766,9.22677,160.329,0.688,214.377,4.000
1668507366000,45.47766,9.22676,160.325,0.680,237.318,4.000
1668507367000,45.47766,9.22676,160.584,0.685,235.741,4.000
1668507368000,45.47765,9.22675,160.551,0.684,232.732,4.000
1668507369000,45.47765,9.22674,160.540,0.681,236.686,4.000
1668507370000,45.47765,9.22674,160.672,0.679,235.484,4.000
1668507371000,45.47764,9.22673,160.665,0.672,233.172,4.000
1668507372000,45.47764,9.22673,160.535,0.660,234.843,4.000
1668507373000,45.47764,9.22672,160.560,0.665,236.520,4.000
1668507374000,45.47763,9.22671,160.618,0.655,232.366,4.000
1668507375000,45.47763,9.22670,160.644,0.663,236.919,4.000
1668507376000,45.47763,9.22670,160.666,0.661,243.289,4.000
1668507377000,45.47762,9.22669,160.635,0.649,241.659,4.000
1668507378000,45.47762,9.22668,160.629,0.651,243.834,4.000
1668507379000,45.47762,9.22667,160.766,0.656,244.826,4.000
1668507380000,45.47762,9.22667,160.797,0.656,245.684,4.000
1668507381000,45.47762,9.22666,160.801,0.650,244.833,4.000
1668507382000,45.47761,9.22665,160.941,0.656,244.780,4.000
1668507383000,45.47761,9.22664,160.876,0.664,243.812,4.000
1668507384000,45.47761,9.22663,160.899,0.669,243.591,4.000
1668507385000,45.47761,9.22663,160.827,0.661,249.354,4.000
1668507386000,45.47760,9.22662,160.829,0.665,251.302,4.000
1668507387000,45.47760,9.22661,160.798,0.674,247.470,4.000
1668507388000,45.47760,9.22660,160.843,0.697,248.991,4.000
1668507389000,45.47760,9.22659,160.871,0.706,246.482,4.000
1668507390000,45.47759,9.22658,160.883,0.695,246.353,4.000
1668507391000,45.47759,9.22657,160.979,0.681,248.987,4.000
1668507392000,45.47759,9.22657,161.083,0.677,246.235,4.000
