Latitudine,Longitudine,Quota ellissoidica a terra,Epoche
45.478509370000,9.226771213333,161.055,1
45.478504165000,9.226774995000,161.055,1
45.478499108333,9.226778543333,161.039,1
45.478494473333,9.226781628333,161.042,1
45.478489236667,9.226784941667,161.031,1
45.478485235000,9.226787786667,161.067,1
45.478480930000,9.226790268333,161.062,1
45.478476956667,9.226792421667,161.061,1
45.478471650000,9.226795166667,161.057,1
45.478467535000,9.226798330000,161.045,1
45.478463100000,9.226800161667,161.042,1
45.478459386667,9.226801973333,161.050,1
45.478455366667,9.226804770000,161.045,1
45.478451276667,9.226806978333,161.034,1
45.478447310000,9.226808950000,161.048,1
45.478443385000,9.226810416667,161.056,1
45.478439426667,9.226812281667,161.054,1
45.478435976667,9.226813918333,161.052,1
45.478431786667,9.226816585000,161.042,1
45.478427765000,9.226818565000,161.053,1
45.478424501667,9.226820118333,161.034,1
45.478420110000,9.226822973333,161.029,1
45.478416128333,9.226824465000,161.033,1
45.478412403333,9.226825928333,161.054,1
45.478408930000,9.226827768333,161.055,1
45.478405396667,9.226829090000,161.040,1
45.478400793333,9.226831260000,161.043,1
45.478397408333,9.226832743333,161.054,1
45.478393621667,9.226834000000,161.042,1
45.478389761667,9.226836051667,161.051,1
45.478385190000,9.226837938333,161.055,1
45.478380963333,9.226839826667,161.067,1
45.478377153333,9.226840933333,161.081,1
45.478373373333,9.226843211667,161.080,1
45.478368778333,9.226844483333,161.057,1
45.478364698333,9.226845680000,161.057,1
45.478360346667,9.226847586667,161.050,1
45.478356225000,9.226848840000,161.032,1
45.478352306667,9.226850020000,161.044,1
45.478347343333,9.226851488333,161.074,1
45.478343175000,9.226852655000,161.083,1
45.478339231667,9.226853663333,161.051,1
45.478335181667,9.226855840000,161.043,1
45.478331493333,9.226857653333,161.018,1
45.478327695000,9.226858488333,161.006,1
45.478323593333,9.226859893333,161.016,1
45.478318980000,9.226861068333,161.036,1
45.478314900000,9.226861615000,161.010,1
45.478310518333,9.226862936667,161.028,1
45.478306968333,9.226864250000,161.020,1
45.478302980000,9.226865010000,161.009,1
45.478299298333,9.226866383333,161.023,1
45.478295418333,9.226867940000,161.033,1
45.478291310000,9.226868965000,161.026,1
45.478287025000,9.226869923333,161.037,1
45.478282803333,9.226871290000,161.009,1
45.478278020000,9.226872140000,161.039,1
45.478274138333,9.226872690000,161.041,1
45.478269831667,9.226874466667,161.044,1
45.478265955000,9.226875576667,161.053,1
45.478262653333,9.226876390000,161.037,1
45.478259626667,9.226877305000,161.031,1
45.478255908333,9.226877440000,161.015,1
45.478252656667,9.226877523333,161.031,1
45.478251621667,9.226877931667,161.031,1
45.478251530000,9.226877946667,161.046,1
45.478251750000,9.226877591667,161.080,1
45.478251936667,9.226877851667,161.093,1
45.478251895000,9.226878271667,161.091,1
45.478251631667,9.226878073333,161.089,1
45.478251535000,9.226878068333,161.092,1
45.478251551667,9.226878248333,161.093,1
45.478251488333,9.226878223333,161.092,1
45.478251411667,9.226878181667,161.100,1
45.478251303333,9.226878198333,161.104,1
45.478251168333,9.226878363333,161.102,1
45.478250681667,9.226878255000,161.110,1
45.478250148333,9.226878813333,161.108,1
45.478249706667,9.226879948333,161.093,1
45.478247915000,9.226879471667,161.091,1
45.478245593333,9.226879605000,161.066,1
45.478243073333,9.226879718333,161.052,1
45.478239176667,9.226880331667,161.014,1
45.478234978333,9.226881041667,161.045,1
45.478230295000,9.226882176667,161.033,1
45.478225870000,9.226883236667,161.031,1
45.478220820000,9.226883791667,161.032,1
45.478215955000,9.226884721667,161.046,1
45.478210836667,9.226885101667,161.038,1
45.478205711667,9.226886121667,161.038,1
45.478200985000,9.226887136667,161.049,1
45.478200128333,9.226884371667,161.075,1
45.478201338333,9.226880681667,161.066,1
45.478201495000,9.226875386667,161.078,1
45.478201948333,9.226869178333,161.056,1
45.478201735000,9.226863941667,161.059,1
45.478201826667,9.226859466667,161.053,1
45.478201986667,9.226853938333,161.003,1
45.478201775000,9.226847583333,161.014,1
45.478201733333,9.226841258333,160.997,1
45.478201250000,9.226835225000,160.975,1
45.478201310000,9.226828695000,160.954,1
45.478201428333,9.226822195000,160.914,1
45.478201433333,9.226815623333,160.873,1
45.478201441667,9.226809028333,160.851,1
45.478201570000,9.226803866667,160.898,1
45.478201346667,9.226799673333,160.900,1
45.478201296667,9.226799446667,160.915,1
45.478201073333,9.226799898333,160.915,1
45.478201226667,9.226799721667,160.921,1
45.478200763333,9.226802586667,160.941,1
45.478199913333,9.226805773333,160.879,1
45.478199370000,9.226807166667,160.902,1
45.478196770000,9.226807656667,160.899,1
45.478192735000,9.226807793333,160.863,1
45.478188725000,9.226807766667,160.917,1
45.478184638333,9.226808195000,160.858,1
45.478180356667,9.226807860000,160.842,1
45.478176050000,9.226808215000,160.862,1
45.478171316667,9.226807983333,160.831,1
45.478166555000,9.226807980000,160.850,1
45.478161268333,9.226808576667,160.874,1
45.478156555000,9.226808245000,160.832,1
45.478152630000,9.226808603333,160.818,1
45.478148411667,9.226808798333,160.804,1
45.478143796667,9.226808926667,160.850,1
45.478139095000,9.226808998333,160.877,1
45.478134908333,9.226808713333,160.864,1
45.478130536667,9.226808790000,160.866,1
45.478126033333,9.226808963333,160.830,1
45.478121100000,9.226808843333,160.839,1
45.478116340000,9.226808721667,160.809,1
45.478111368333,9.226809381667,160.805,1
45.478106238333,9.226809188333,160.805,1
45.478101530000,9.226809116667,160.774,1
45.478096940000,9.226809611667,160.784,1
45.478092166667,9.226809278333,160.784,1
45.478087025000,9.226809201667,160.767,1
45.478082205000,9.226809058333,160.785,1
45.478078063333,9.226808730000,160.788,1
45.478074480000,9.226810568333,160.829,1
45.478070518333,9.226810650000,160.788,1
45.478066378333,9.226810620000,160.765,1
45.478062243333,9.226810903333,160.756,1
45.478057656667,9.226810615000,160.747,1
45.478053073333,9.226811213333,160.787,1
45.478048731667,9.226810820000,160.776,1
45.478044580000,9.226811016667,160.773,1
45.478039753333,9.226811278333,160.758,1
45.478035356667,9.226810880000,160.746,1
45.478031431667,9.226810645000,160.716,1
45.478026883333,9.226810683333,160.752,1
45.478022328333,9.226811436667,160.778,1
45.478017626667,9.226811476667,160.771,1
45.478012788333,9.226811803333,160.780,1
45.478008060000,9.226811793333,160.766,1
45.478003595000,9.226811491667,160.797,1
45.477999880000,9.226812041667,160.830,1
45.477998135000,9.226813110000,160.825,1
45.477997911667,9.226816180000,160.832,1
45.477997933333,9.226819380000,160.855,1
45.477997670000,9.226825046667,160.871,1
45.477998085000,9.226832196667,160.876,1
45.477997558333,9.226839270000,160.881,1
45.477997993333,9.226845803333,160.924,1
45.477998023333,9.226852986667,160.931,1
45.477997988333,9.226860633333,160.934,1
45.477998298333,9.226867480000,160.964,1
45.477997808333,9.226873630000,160.956,1
45.477997931667,9.226879480000,160.955,1
45.477997641667,9.226884816667,160.988,1
